activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(50,10)	0.001	0.797	0.55	0.89	0.597	0.467	0.72	0.566	0.322	0.68	0.322	0.004	0.501	0.565	0.306	0.686	0.309	-0.008	0.496
relu	(50,10)	0.0001	0.797	0.588	0.876	0.615	0.48	0.732	0.542	0.294	0.657	0.289	-0.049	0.476	0.578	0.347	0.686	0.343	0.032	0.516
relu	(75,15)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(75,15)	0.01	0.791	0.522	0.892	0.575	0.444	0.707	0.591	0.216	0.766	0.25	-0.02	0.491	0.617	0.265	0.781	0.306	0.051	0.523
relu	(75,15)	0.001	0.8	0.511	0.909	0.582	0.463	0.71	0.601	0.233	0.773	0.269	0.007	0.503	0.63	0.286	0.79	0.329	0.084	0.538
relu	(75,15)	0.0001	0.809	0.511	0.921	0.593	0.485	0.716	0.621	0.269	0.785	0.309	0.058	0.527	0.617	0.306	0.762	0.337	0.072	0.534
relu	(100,20)	0.1	0.747	0.135	0.977	0.137	0.113	0.556	0.668	0.069	0.947	0.072	0.016	0.508	0.682	0.0	1.0	0.0	0.0	0.5
relu	(100,20)	0.01	0.82	0.576	0.911	0.634	0.521	0.744	0.57	0.192	0.747	0.219	-0.068	0.469	0.643	0.327	0.79	0.368	0.126	0.559
relu	(100,20)	0.001	0.814	0.533	0.919	0.61	0.503	0.726	0.599	0.208	0.781	0.249	-0.007	0.495	0.571	0.163	0.762	0.195	-0.085	0.463
relu	(100,20)	0.0001	0.797	0.467	0.921	0.556	0.448	0.694	0.63	0.224	0.819	0.279	0.053	0.522	0.617	0.224	0.8	0.272	0.028	0.512
relu	(125,25)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(125,25)	0.01	0.785	0.522	0.884	0.571	0.434	0.703	0.556	0.204	0.72	0.227	-0.08	0.462	0.623	0.306	0.771	0.341	0.083	0.539
relu	(125,25)	0.001	0.803	0.5	0.917	0.581	0.467	0.708	0.597	0.196	0.785	0.236	-0.022	0.49	0.597	0.184	0.79	0.225	-0.03	0.487
relu	(125,25)	0.0001	0.815	0.528	0.923	0.609	0.504	0.726	0.59	0.204	0.77	0.241	-0.029	0.487	0.571	0.163	0.762	0.195	-0.085	0.463
relu	(150,30)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(150,30)	0.01	0.794	0.517	0.899	0.577	0.45	0.708	0.574	0.171	0.762	0.203	-0.076	0.467	0.617	0.204	0.81	0.253	0.016	0.507
relu	(150,30)	0.001	0.795	0.455	0.923	0.548	0.439	0.689	0.595	0.192	0.783	0.23	-0.028	0.487	0.591	0.265	0.743	0.292	0.009	0.504
relu	(150,30)	0.0001	0.797	0.472	0.919	0.559	0.448	0.696	0.588	0.204	0.768	0.24	-0.032	0.486	0.578	0.224	0.743	0.253	-0.035	0.484
relu	(175,35)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(175,35)	0.01	0.786	0.511	0.89	0.565	0.432	0.701	0.592	0.18	0.785	0.217	-0.041	0.482	0.552	0.102	0.762	0.127	-0.16	0.432
relu	(175,35)	0.001	0.8	0.5	0.913	0.578	0.46	0.707	0.601	0.184	0.796	0.227	-0.022	0.49	0.604	0.224	0.781	0.265	0.006	0.503
relu	(175,35)	0.0001	0.798	0.478	0.919	0.564	0.452	0.699	0.592	0.171	0.789	0.21	-0.045	0.48	0.565	0.163	0.752	0.193	-0.095	0.458
relu	(200,40)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(200,40)	0.01	0.789	0.5	0.899	0.564	0.436	0.699	0.57	0.184	0.75	0.213	-0.071	0.467	0.604	0.204	0.79	0.247	-0.006	0.497
relu	(200,40)	0.001	0.805	0.5	0.919	0.581	0.47	0.71	0.61	0.18	0.811	0.228	-0.007	0.496	0.604	0.224	0.781	0.265	0.006	0.503
relu	(200,40)	0.0001	0.809	0.494	0.928	0.584	0.48	0.711	0.605	0.184	0.802	0.229	-0.015	0.493	0.617	0.204	0.81	0.253	0.016	0.507
relu	(225,45)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.679	0.0	0.996	0.0	-0.016	0.498	0.682	0.0	1.0	0.0	0.0	0.5
relu	(225,45)	0.01	0.802	0.506	0.913	0.582	0.467	0.709	0.568	0.155	0.76	0.183	-0.096	0.458	0.571	0.163	0.762	0.195	-0.085	0.463
relu	(225,45)	0.001	0.798	0.473	0.921	0.563	0.454	0.697	0.581	0.122	0.794	0.155	-0.101	0.458	0.552	0.122	0.752	0.148	-0.144	0.437
relu	(225,45)	0.0001	0.794	0.456	0.921	0.547	0.436	0.689	0.591	0.131	0.806	0.168	-0.078	0.468	0.604	0.163	0.81	0.208	-0.033	0.486
relu	(250,50)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(250,50)	0.01	0.785	0.462	0.907	0.537	0.416	0.684	0.582	0.212	0.754	0.244	-0.034	0.483	0.565	0.204	0.733	0.23	-0.068	0.469
relu	(250,50)	0.001	0.809	0.5	0.925	0.588	0.483	0.713	0.564	0.114	0.773	0.141	-0.135	0.444	0.565	0.102	0.781	0.13	-0.141	0.441
relu	(250,50)	0.0001	0.806	0.5	0.921	0.585	0.475	0.711	0.556	0.09	0.773	0.113	-0.165	0.432	0.545	0.102	0.752	0.125	-0.169	0.427
relu	(275,55)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(275,55)	0.01	0.78	0.483	0.892	0.544	0.411	0.688	0.595	0.22	0.77	0.255	-0.013	0.495	0.513	0.224	0.648	0.227	-0.129	0.436
relu	(275,55)	0.001	0.811	0.505	0.925	0.592	0.487	0.715	0.586	0.11	0.808	0.143	-0.104	0.459	0.565	0.061	0.8	0.082	-0.178	0.431
relu	(275,55)	0.0001	0.805	0.467	0.932	0.566	0.465	0.699	0.579	0.122	0.792	0.154	-0.104	0.457	0.565	0.102	0.781	0.13	-0.141	0.441
relu	(300,60)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.681	0.0	0.998	0.0	-0.011	0.499	0.682	0.0	1.0	0.0	0.0	0.5
relu	(300,60)	0.01	0.786	0.478	0.903	0.548	0.424	0.69	0.604	0.229	0.779	0.268	0.008	0.504	0.526	0.122	0.714	0.141	-0.18	0.418
relu	(300,60)	0.001	0.814	0.511	0.928	0.599	0.496	0.719	0.616	0.184	0.817	0.234	0.004	0.5	0.584	0.122	0.8	0.158	-0.095	0.461
relu	(300,60)	0.0001	0.808	0.462	0.938	0.568	0.476	0.7	0.651	0.208	0.857	0.274	0.082	0.533	0.63	0.204	0.829	0.26	0.039	0.516
relu	(25,12)	0.1	0.728	0.006	1.0	0.011	0.029	0.503	0.686	0.016	0.998	0.031	0.054	0.507	0.682	0.0	1.0	0.0	0.0	0.5
relu	(25,12)	0.01	0.785	0.555	0.872	0.586	0.443	0.713	0.568	0.188	0.745	0.214	-0.076	0.466	0.545	0.143	0.733	0.167	-0.138	0.438
relu	(25,12)	0.001	0.805	0.544	0.903	0.603	0.482	0.723	0.626	0.233	0.81	0.282	0.052	0.521	0.597	0.184	0.79	0.225	-0.03	0.487
relu	(25,12)	0.0001	0.811	0.522	0.919	0.601	0.491	0.721	0.643	0.22	0.84	0.28	0.076	0.53	0.617	0.143	0.838	0.192	-0.024	0.49
relu	(50,25)	0.1	0.705	0.133	0.922	0.12	0.103	0.527	0.643	0.09	0.901	0.072	-0.018	0.495	0.682	0.0	1.0	0.0	0.0	0.5
relu	(50,25)	0.01	0.8	0.517	0.907	0.584	0.464	0.712	0.601	0.216	0.781	0.256	-0.002	0.499	0.578	0.224	0.743	0.253	-0.035	0.484
relu	(50,25)	0.001	0.808	0.533	0.911	0.603	0.487	0.722	0.609	0.188	0.806	0.234	-0.006	0.497	0.591	0.102	0.819	0.137	-0.101	0.461
