Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	5	3	0.01	1	-16.0	2.9	-0.0	0.788	0.567	0.872	0.59	0.451	0.719	0.551	0.233	0.699	0.246	-0.072	0.466	0.545	0.224	0.695	0.239	-0.083	0.46
poly	5	3	0.01	2	-5.3	2.8	-0.1	0.773	0.594	0.841	0.587	0.434	0.718	0.523	0.29	0.632	0.278	-0.077	0.461	0.474	0.265	0.571	0.243	-0.157	0.418
poly	5	3	0.01	3	-4.3	2.9	-0.1	0.764	0.594	0.828	0.578	0.417	0.711	0.531	0.306	0.636	0.293	-0.057	0.471	0.506	0.306	0.6	0.283	-0.091	0.453
poly	5	3	0.001	0	-10.5	1.2	-0.0	0.761	0.226	0.963	0.333	0.289	0.594	0.649	0.086	0.912	0.133	-0.004	0.499	0.649	0.102	0.905	0.156	0.011	0.503
poly	5	3	0.001	1	-4.9	4.5	0.2	0.767	0.479	0.876	0.533	0.388	0.677	0.596	0.278	0.745	0.3	0.023	0.511	0.61	0.286	0.762	0.318	0.051	0.524
poly	5	3	0.001	2	-8.9	9.8	-0.1	0.728	0.589	0.781	0.543	0.359	0.685	0.564	0.38	0.65	0.356	0.029	0.515	0.591	0.429	0.667	0.4	0.092	0.548
poly	5	3	0.001	3	-11.0	11.3	-0.4	0.698	0.671	0.708	0.55	0.349	0.69	0.542	0.482	0.57	0.4	0.048	0.526	0.545	0.429	0.6	0.375	0.027	0.514
poly	10	2	0.1	0	-7.6	9.9	-0.1	0.738	0.583	0.797	0.55	0.369	0.69	0.521	0.273	0.636	0.266	-0.089	0.455	0.494	0.245	0.61	0.235	-0.143	0.427
poly	10	2	0.1	1	-8.5	6.8	0.2	0.771	0.451	0.892	0.519	0.382	0.672	0.573	0.18	0.756	0.211	-0.072	0.468	0.565	0.184	0.743	0.212	-0.081	0.463
poly	10	2	0.1	2	-8.5	6.2	-0.1	0.746	0.578	0.809	0.553	0.378	0.694	0.514	0.261	0.632	0.255	-0.105	0.447	0.506	0.265	0.619	0.255	-0.113	0.442
poly	10	2	0.1	3	-8.3	6.1	-0.0	0.755	0.528	0.841	0.54	0.375	0.684	0.536	0.241	0.674	0.248	-0.086	0.458	0.545	0.224	0.695	0.239	-0.083	0.46
poly	10	2	0.01	0	-7.6	9.9	-0.1	0.738	0.583	0.797	0.55	0.369	0.69	0.521	0.273	0.636	0.266	-0.089	0.455	0.494	0.245	0.61	0.235	-0.143	0.427
poly	10	2	0.01	1	-7.4	6.8	0.1	0.771	0.495	0.876	0.542	0.396	0.685	0.562	0.237	0.714	0.255	-0.051	0.476	0.578	0.265	0.724	0.286	-0.011	0.495
poly	10	2	0.01	2	-6.8	8.0	-0.0	0.762	0.55	0.843	0.558	0.397	0.697	0.556	0.29	0.68	0.292	-0.03	0.485	0.558	0.265	0.695	0.277	-0.04	0.48
poly	10	2	0.01	3	-6.3	8.9	-0.2	0.743	0.638	0.783	0.576	0.399	0.71	0.544	0.392	0.615	0.353	0.007	0.504	0.519	0.347	0.6	0.315	-0.051	0.473
poly	10	2	0.001	0	-3.8	7.8	0.1	0.77	0.468	0.884	0.526	0.385	0.676	0.601	0.184	0.796	0.224	-0.022	0.49	0.61	0.163	0.819	0.211	-0.022	0.491
poly	10	2	0.001	1	-6.4	9.5	-0.4	0.696	0.753	0.675	0.577	0.387	0.714	0.518	0.555	0.501	0.423	0.053	0.528	0.519	0.531	0.514	0.413	0.042	0.522
poly	10	2	0.001	2	-9.7	12.2	-0.0	0.741	0.55	0.814	0.54	0.363	0.682	0.588	0.4	0.676	0.381	0.074	0.538	0.63	0.469	0.705	0.447	0.17	0.587
poly	10	2	0.001	3	-11.7	14.3	0.2	0.749	0.484	0.849	0.516	0.352	0.666	0.603	0.339	0.726	0.35	0.066	0.532	0.649	0.408	0.762	0.426	0.174	0.585
poly	10	3	0.1	0	-71.6	9.1	-0.2	0.759	0.599	0.82	0.577	0.41	0.71	0.519	0.229	0.655	0.232	-0.118	0.442	0.506	0.224	0.638	0.224	-0.137	0.431
poly	10	3	0.1	1	-57.3	7.3	-0.2	0.762	0.616	0.818	0.586	0.421	0.717	0.526	0.249	0.655	0.249	-0.097	0.452	0.506	0.204	0.648	0.208	-0.15	0.426
poly	10	3	0.1	2	-47.4	5.9	-0.2	0.774	0.621	0.832	0.601	0.445	0.727	0.527	0.241	0.661	0.244	-0.099	0.451	0.519	0.245	0.648	0.245	-0.107	0.446
poly	10	3	0.1	3	-39.4	4.9	-0.1	0.783	0.6	0.853	0.6	0.454	0.726	0.557	0.245	0.703	0.259	-0.055	0.474	0.519	0.204	0.667	0.213	-0.132	0.435
poly	10	3	0.01	0	-71.6	9.1	-0.2	0.759	0.599	0.82	0.577	0.41	0.71	0.519	0.229	0.655	0.232	-0.118	0.442	0.506	0.224	0.638	0.224	-0.137	0.431
poly	10	3	0.01	1	-16.0	2.9	-0.0	0.788	0.567	0.872	0.59	0.451	0.719	0.551	0.233	0.699	0.246	-0.072	0.466	0.545	0.224	0.695	0.239	-0.083	0.46
poly	10	3	0.01	2	-5.3	2.8	-0.1	0.773	0.594	0.841	0.587	0.434	0.718	0.523	0.29	0.632	0.278	-0.077	0.461	0.474	0.265	0.571	0.243	-0.157	0.418
poly	10	3	0.01	3	-4.3	2.9	-0.1	0.764	0.594	0.828	0.578	0.417	0.711	0.531	0.306	0.636	0.293	-0.057	0.471	0.506	0.306	0.6	0.283	-0.091	0.453
poly	10	3	0.001	0	-20.2	1.6	-0.1	0.732	0.418	0.851	0.449	0.292	0.634	0.574	0.212	0.743	0.232	-0.05	0.478	0.578	0.245	0.733	0.27	-0.023	0.489
poly	10	3	0.001	1	-6.1	5.6	0.1	0.764	0.512	0.859	0.544	0.392	0.685	0.568	0.278	0.703	0.288	-0.021	0.49	0.591	0.327	0.714	0.337	0.042	0.52
poly	10	3	0.001	2	-9.5	9.1	-0.2	0.722	0.594	0.77	0.541	0.351	0.682	0.549	0.392	0.623	0.355	0.014	0.507	0.558	0.429	0.619	0.382	0.045	0.524
poly	10	3	0.001	3	-11.5	11.5	-0.3	0.705	0.638	0.731	0.543	0.342	0.685	0.548	0.445	0.596	0.384	0.039	0.521	0.552	0.388	0.629	0.355	0.016	0.508
