Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	10	2	0.001	1	-2.8	2.0	0.1	0.998	1.0	0.996	0.998	0.996	0.998	0.899	1.0	0.798	0.908	0.815	0.899	0.9	1.0	0.8	0.909	0.816	0.9
poly	10	2	0.001	2	-3.1	2.4	0.1	0.998	1.0	0.996	0.998	0.996	0.998	0.899	1.0	0.798	0.908	0.815	0.899	0.9	1.0	0.8	0.909	0.816	0.9
poly	10	2	0.001	3	-3.2	2.6	0.1	0.998	1.0	0.996	0.998	0.996	0.998	0.899	1.0	0.798	0.908	0.815	0.899	0.9	1.0	0.8	0.909	0.816	0.9
poly	10	3	0.1	0	-27.3	5.3	0.0	0.982	0.983	0.981	0.982	0.965	0.982	0.952	0.983	0.922	0.954	0.907	0.952	0.971	1.0	0.943	0.972	0.944	0.971
poly	10	3	0.1	1	-22.4	4.3	-0.1	0.986	0.988	0.983	0.986	0.971	0.986	0.945	0.985	0.905	0.947	0.893	0.945	0.952	1.0	0.905	0.955	0.909	0.952
poly	10	3	0.1	2	-18.5	3.6	-0.0	0.987	0.983	0.99	0.987	0.973	0.987	0.957	0.985	0.93	0.958	0.916	0.957	0.971	1.0	0.943	0.972	0.944	0.971
poly	10	3	0.1	3	-15.3	3.0	-0.0	0.989	0.983	0.994	0.989	0.977	0.989	0.955	0.985	0.926	0.956	0.912	0.955	0.962	1.0	0.924	0.963	0.927	0.962
poly	10	3	0.01	0	-27.3	5.3	0.0	0.982	0.983	0.981	0.982	0.965	0.982	0.952	0.983	0.922	0.954	0.907	0.952	0.971	1.0	0.943	0.972	0.944	0.971
poly	10	3	0.01	1	-5.0	2.5	-0.0	0.993	0.992	0.994	0.993	0.986	0.993	0.946	0.979	0.912	0.947	0.894	0.946	0.957	0.99	0.924	0.959	0.916	0.957
poly	10	3	0.01	2	-3.0	2.1	0.0	0.995	0.994	0.996	0.995	0.99	0.995	0.93	0.99	0.869	0.934	0.866	0.93	0.929	0.99	0.867	0.933	0.864	0.929
poly	10	3	0.01	3	-2.9	1.8	0.1	0.996	0.994	0.998	0.996	0.992	0.996	0.932	0.99	0.874	0.936	0.871	0.932	0.938	0.99	0.886	0.941	0.881	0.938
poly	10	3	0.001	0	-19.8	4.6	-0.2	0.977	0.979	0.975	0.977	0.955	0.977	0.896	0.895	0.897	0.896	0.792	0.896	0.9	0.905	0.895	0.9	0.8	0.9
poly	10	3	0.001	1	-2.4	1.6	0.2	0.998	0.998	0.998	0.998	0.996	0.998	0.928	0.998	0.857	0.932	0.864	0.928	0.929	1.0	0.857	0.933	0.866	0.929
poly	10	3	0.001	2	-2.7	2.0	0.1	0.998	1.0	0.996	0.998	0.996	0.998	0.898	1.0	0.796	0.908	0.813	0.898	0.9	1.0	0.8	0.909	0.816	0.9
poly	10	3	0.001	3	-2.9	2.2	0.1	0.998	1.0	0.996	0.998	0.996	0.998	0.898	1.0	0.796	0.908	0.813	0.898	0.895	1.0	0.79	0.905	0.808	0.895
