Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	5	3	0.01	1	-13.1	8.8	0.2	0.889	0.936	0.843	0.894	0.783	0.889	0.745	0.88	0.61	0.775	0.509	0.745	0.762	0.905	0.619	0.792	0.547	0.762
poly	5	3	0.01	2	-4.5	5.3	0.6	0.892	0.861	0.923	0.889	0.787	0.892	0.767	0.781	0.752	0.77	0.534	0.767	0.8	0.819	0.781	0.804	0.6	0.8
poly	5	3	0.01	3	-4.8	4.0	0.7	0.885	0.838	0.932	0.879	0.774	0.885	0.759	0.749	0.77	0.756	0.519	0.759	0.771	0.771	0.771	0.771	0.543	0.771
poly	5	3	0.001	0	-12.4	4.7	0.2	0.76	0.774	0.746	0.763	0.531	0.76	0.724	0.789	0.659	0.738	0.463	0.724	0.752	0.819	0.686	0.768	0.509	0.752
poly	5	3	0.001	1	-6.0	5.4	0.5	0.856	0.826	0.886	0.852	0.715	0.856	0.777	0.789	0.766	0.78	0.555	0.777	0.8	0.857	0.743	0.811	0.604	0.8
poly	5	3	0.001	2	-8.9	8.1	0.3	0.87	0.903	0.836	0.874	0.741	0.87	0.774	0.869	0.68	0.794	0.56	0.774	0.805	0.914	0.695	0.824	0.625	0.805
poly	5	3	0.001	3	-11.2	11.3	0.6	0.861	0.851	0.872	0.86	0.723	0.861	0.762	0.794	0.73	0.769	0.525	0.762	0.795	0.848	0.743	0.805	0.594	0.795
poly	10	2	0.1	0	-9.7	8.2	0.5	0.899	0.892	0.905	0.897	0.798	0.899	0.754	0.813	0.695	0.768	0.513	0.754	0.767	0.829	0.705	0.78	0.537	0.767
poly	10	2	0.1	1	-9.4	6.9	0.4	0.904	0.911	0.896	0.904	0.809	0.904	0.742	0.832	0.651	0.764	0.492	0.742	0.752	0.829	0.676	0.77	0.511	0.752
poly	10	2	0.1	2	-9.3	6.4	0.5	0.9	0.892	0.907	0.898	0.8	0.9	0.753	0.811	0.695	0.767	0.51	0.753	0.748	0.8	0.695	0.76	0.498	0.748
poly	10	2	0.1	3	-9.2	6.0	0.5	0.901	0.892	0.909	0.899	0.802	0.901	0.745	0.806	0.684	0.76	0.494	0.745	0.752	0.81	0.695	0.766	0.508	0.752
poly	10	2	0.01	0	-9.7	8.2	0.5	0.899	0.892	0.905	0.897	0.798	0.899	0.754	0.813	0.695	0.768	0.513	0.754	0.767	0.829	0.705	0.78	0.537	0.767
poly	10	2	0.01	1	-8.6	5.4	0.5	0.894	0.888	0.901	0.893	0.789	0.894	0.749	0.802	0.695	0.761	0.5	0.749	0.771	0.81	0.733	0.78	0.544	0.771
poly	10	2	0.01	2	-8.3	6.4	0.5	0.891	0.886	0.897	0.89	0.783	0.891	0.754	0.8	0.709	0.765	0.511	0.754	0.781	0.819	0.743	0.789	0.564	0.781
poly	10	2	0.01	3	-8.0	7.3	0.4	0.886	0.901	0.872	0.888	0.773	0.886	0.751	0.821	0.682	0.768	0.508	0.751	0.767	0.848	0.686	0.784	0.54	0.767
poly	10	2	0.001	0	-3.8	8.8	0.4	0.837	0.783	0.893	0.828	0.682	0.838	0.76	0.716	0.804	0.748	0.525	0.76	0.8	0.79	0.81	0.798	0.6	0.8
poly	10	2	0.001	1	-7.5	10.3	0.5	0.844	0.801	0.886	0.836	0.691	0.844	0.77	0.779	0.762	0.772	0.541	0.77	0.81	0.838	0.781	0.815	0.62	0.81
poly	10	2	0.001	2	-9.3	11.6	0.5	0.843	0.811	0.874	0.837	0.687	0.843	0.772	0.802	0.743	0.779	0.546	0.772	0.814	0.867	0.762	0.824	0.632	0.814
poly	10	2	0.001	3	-10.5	12.7	0.4	0.847	0.851	0.843	0.847	0.694	0.847	0.784	0.861	0.707	0.799	0.575	0.784	0.814	0.924	0.705	0.833	0.644	0.814
poly	10	3	0.1	0	-123.3	14.6	0.4	0.862	0.876	0.849	0.864	0.725	0.862	0.802	0.869	0.735	0.814	0.609	0.802	0.829	0.905	0.752	0.841	0.665	0.829
poly	10	3	0.1	1	-90.9	15.3	0.5	0.873	0.863	0.882	0.872	0.746	0.873	0.804	0.844	0.764	0.811	0.61	0.804	0.824	0.895	0.752	0.836	0.654	0.824
poly	10	3	0.1	2	-69.8	15.0	0.4	0.884	0.892	0.876	0.885	0.769	0.884	0.799	0.863	0.735	0.811	0.603	0.799	0.814	0.905	0.724	0.83	0.639	0.814
poly	10	3	0.1	3	-54.7	14.3	0.4	0.888	0.896	0.88	0.889	0.777	0.888	0.8	0.865	0.735	0.812	0.605	0.8	0.81	0.895	0.724	0.825	0.628	0.81
poly	10	3	0.01	0	-123.3	14.6	0.4	0.862	0.876	0.849	0.864	0.725	0.862	0.802	0.869	0.735	0.814	0.609	0.802	0.829	0.905	0.752	0.841	0.665	0.829
poly	10	3	0.01	1	-13.1	8.8	0.2	0.889	0.936	0.843	0.894	0.783	0.889	0.745	0.88	0.61	0.775	0.509	0.745	0.762	0.905	0.619	0.792	0.547	0.762
poly	10	3	0.01	2	-4.5	5.3	0.6	0.892	0.861	0.923	0.889	0.787	0.892	0.767	0.781	0.752	0.77	0.534	0.767	0.8	0.819	0.781	0.804	0.6	0.8
poly	10	3	0.01	3	-4.8	4.0	0.7	0.885	0.838	0.932	0.879	0.774	0.885	0.759	0.749	0.77	0.756	0.519	0.759	0.771	0.771	0.771	0.771	0.543	0.771
poly	10	3	0.001	0	-19.2	6.2	0.2	0.792	0.828	0.756	0.8	0.589	0.792	0.74	0.838	0.642	0.763	0.496	0.74	0.786	0.895	0.676	0.807	0.586	0.786
poly	10	3	0.001	1	-6.8	5.0	0.4	0.877	0.888	0.865	0.878	0.755	0.877	0.774	0.84	0.709	0.788	0.554	0.774	0.795	0.876	0.714	0.811	0.598	0.795
poly	10	3	0.001	2	-9.7	9.6	0.6	0.873	0.861	0.884	0.871	0.746	0.873	0.762	0.789	0.735	0.768	0.525	0.762	0.79	0.819	0.762	0.796	0.582	0.79
poly	10	3	0.001	3	-11.7	12.4	0.6	0.867	0.867	0.868	0.867	0.735	0.867	0.755	0.802	0.709	0.766	0.513	0.755	0.786	0.838	0.733	0.796	0.575	0.786
