activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(100,50)	0.001	0.881	0.925	0.837	0.886	0.766	0.881	0.784	0.914	0.653	0.809	0.588	0.784	0.81	0.924	0.695	0.829	0.636	0.81
relu	(100,50)	0.0001	0.885	0.934	0.837	0.89	0.774	0.885	0.789	0.914	0.663	0.812	0.597	0.789	0.819	0.924	0.714	0.836	0.653	0.819
relu	(125,62)	0.1	0.5	0.2	0.798	0.134	-0.015	0.499	0.499	0.2	0.798	0.133	-0.014	0.499	0.495	0.99	0.0	0.662	-0.069	0.495
relu	(125,62)	0.01	0.875	0.915	0.835	0.88	0.753	0.875	0.785	0.901	0.669	0.807	0.586	0.785	0.786	0.895	0.676	0.807	0.586	0.786
relu	(125,62)	0.001	0.879	0.93	0.828	0.885	0.762	0.879	0.785	0.907	0.663	0.808	0.587	0.785	0.805	0.914	0.695	0.824	0.625	0.805
relu	(125,62)	0.0001	0.876	0.925	0.826	0.882	0.756	0.876	0.787	0.918	0.655	0.811	0.594	0.787	0.814	0.933	0.695	0.834	0.647	0.814
relu	(150,75)	0.1	0.497	0.396	0.602	0.264	-0.009	0.499	0.506	0.4	0.611	0.269	0.034	0.506	0.505	0.01	1.0	0.019	0.069	0.505
relu	(150,75)	0.01	0.866	0.925	0.808	0.874	0.739	0.866	0.755	0.897	0.613	0.786	0.533	0.755	0.8	0.914	0.686	0.821	0.616	0.8
relu	(150,75)	0.001	0.883	0.927	0.839	0.888	0.77	0.883	0.764	0.901	0.627	0.792	0.549	0.764	0.79	0.914	0.667	0.814	0.6	0.79
relu	(150,75)	0.0001	0.884	0.925	0.843	0.889	0.771	0.884	0.769	0.909	0.629	0.797	0.56	0.769	0.805	0.924	0.686	0.826	0.628	0.805
relu	(175,87)	0.1	0.502	0.4	0.6	0.268	0.0	0.5	0.5	0.4	0.6	0.267	0.0	0.5	0.5	1.0	0.0	0.667	0.0	0.5
relu	(175,87)	0.01	0.874	0.917	0.83	0.879	0.751	0.874	0.771	0.895	0.648	0.797	0.561	0.771	0.8	0.924	0.676	0.822	0.619	0.8
relu	(175,87)	0.001	0.878	0.936	0.82	0.884	0.761	0.878	0.789	0.91	0.667	0.812	0.595	0.789	0.805	0.924	0.686	0.826	0.628	0.805
relu	(175,87)	0.0001	0.881	0.934	0.828	0.887	0.767	0.881	0.788	0.918	0.657	0.812	0.596	0.788	0.814	0.914	0.714	0.831	0.642	0.814
relu	(200,100)	0.1	0.503	0.204	0.8	0.142	0.02	0.502	0.502	0.204	0.8	0.141	0.028	0.502	0.5	0.0	1.0	0.0	0.0	0.5
relu	(200,100)	0.01	0.866	0.917	0.816	0.873	0.738	0.866	0.781	0.905	0.657	0.805	0.58	0.781	0.781	0.933	0.629	0.81	0.59	0.781
relu	(200,100)	0.001	0.883	0.917	0.849	0.887	0.769	0.883	0.79	0.905	0.676	0.812	0.597	0.79	0.814	0.933	0.695	0.834	0.647	0.814
relu	(200,100)	0.0001	0.883	0.921	0.845	0.887	0.769	0.883	0.797	0.924	0.67	0.82	0.614	0.797	0.814	0.943	0.686	0.835	0.65	0.814
relu	(225,112)	0.1	0.51	0.629	0.392	0.451	0.041	0.51	0.521	0.642	0.4	0.469	0.087	0.521	0.748	0.81	0.686	0.762	0.499	0.748
relu	(225,112)	0.01	0.872	0.925	0.818	0.878	0.748	0.872	0.756	0.905	0.608	0.788	0.537	0.756	0.814	0.924	0.705	0.833	0.644	0.814
relu	(225,112)	0.001	0.882	0.923	0.841	0.887	0.768	0.882	0.784	0.91	0.657	0.808	0.587	0.784	0.814	0.933	0.695	0.834	0.647	0.814
relu	(225,112)	0.0001	0.879	0.925	0.832	0.884	0.762	0.879	0.777	0.92	0.634	0.805	0.579	0.777	0.786	0.924	0.648	0.812	0.595	0.786
relu	(250,125)	0.1	0.499	0.6	0.4	0.4	0.0	0.5	0.501	0.6	0.402	0.4	0.014	0.501	0.5	1.0	0.0	0.667	0.0	0.5
relu	(250,125)	0.01	0.876	0.934	0.818	0.883	0.758	0.876	0.76	0.891	0.629	0.788	0.539	0.76	0.771	0.895	0.648	0.797	0.56	0.771
relu	(250,125)	0.001	0.884	0.927	0.841	0.889	0.771	0.884	0.77	0.907	0.634	0.798	0.562	0.77	0.81	0.914	0.705	0.828	0.633	0.81
relu	(250,125)	0.0001	0.884	0.925	0.843	0.889	0.771	0.884	0.767	0.912	0.621	0.796	0.558	0.767	0.795	0.924	0.667	0.819	0.611	0.795
relu	(275,137)	0.1	0.552	0.552	0.555	0.419	0.107	0.553	0.547	0.547	0.547	0.414	0.081	0.547	0.495	0.0	0.99	0.0	-0.069	0.495
relu	(275,137)	0.01	0.869	0.913	0.824	0.874	0.74	0.869	0.769	0.895	0.642	0.795	0.557	0.769	0.781	0.895	0.667	0.803	0.577	0.781
relu	(275,137)	0.001	0.882	0.923	0.841	0.886	0.767	0.882	0.785	0.914	0.655	0.81	0.59	0.785	0.79	0.933	0.648	0.817	0.606	0.79
relu	(275,137)	0.0001	0.893	0.934	0.853	0.897	0.79	0.893	0.785	0.914	0.655	0.809	0.59	0.785	0.79	0.933	0.648	0.817	0.606	0.79
relu	(300,150)	0.1	0.499	0.4	0.598	0.27	-0.014	0.499	0.501	0.402	0.6	0.274	0.014	0.501	0.5	1.0	0.0	0.667	0.0	0.5
relu	(300,150)	0.01	0.87	0.925	0.814	0.877	0.744	0.87	0.767	0.903	0.63	0.795	0.554	0.767	0.795	0.924	0.667	0.819	0.611	0.795
relu	(300,150)	0.001	0.882	0.915	0.849	0.886	0.766	0.882	0.772	0.914	0.63	0.801	0.569	0.772	0.805	0.933	0.676	0.827	0.631	0.805
relu	(300,150)	0.0001	0.886	0.919	0.853	0.89	0.774	0.886	0.763	0.91	0.615	0.793	0.551	0.763	0.786	0.924	0.648	0.812	0.595	0.786
relu	(25,25)	0.1	0.56	0.625	0.496	0.492	0.142	0.561	0.561	0.648	0.474	0.515	0.175	0.561	0.5	0.0	1.0	0.0	0.0	0.5
relu	(25,25)	0.01	0.861	0.917	0.805	0.868	0.728	0.861	0.755	0.905	0.606	0.787	0.535	0.755	0.771	0.914	0.629	0.8	0.566	0.771
relu	(25,25)	0.001	0.857	0.921	0.793	0.866	0.721	0.857	0.778	0.905	0.651	0.803	0.575	0.778	0.781	0.895	0.667	0.803	0.577	0.781
relu	(25,25)	0.0001	0.868	0.925	0.812	0.875	0.742	0.869	0.767	0.895	0.638	0.793	0.552	0.767	0.786	0.905	0.667	0.809	0.588	0.786
relu	(50,50)	0.1	0.56	0.342	0.779	0.293	0.136	0.561	0.54	0.335	0.745	0.272	0.068	0.54	0.738	0.895	0.581	0.774	0.502	0.738
relu	(50,50)	0.01	0.874	0.917	0.83	0.879	0.752	0.874	0.772	0.895	0.65	0.798	0.563	0.772	0.771	0.895	0.648	0.797	0.56	0.771
relu	(50,50)	0.001	0.87	0.917	0.822	0.875	0.743	0.87	0.784	0.916	0.651	0.809	0.589	0.784	0.8	0.943	0.657	0.825	0.626	0.8
relu	(50,50)	0.0001	0.878	0.917	0.839	0.882	0.759	0.878	0.788	0.914	0.661	0.811	0.595	0.788	0.819	0.943	0.695	0.839	0.659	0.819
relu	(75,75)	0.1	0.501	0.8	0.2	0.534	0.0	0.5	0.5	0.8	0.2	0.533	0.0	0.5	0.5	1.0	0.0	0.667	0.0	0.5
relu	(75,75)	0.01	0.878	0.927	0.828	0.884	0.76	0.878	0.753	0.886	0.621	0.782	0.526	0.753	0.771	0.924	0.619	0.802	0.57	0.771
relu	(75,75)	0.001	0.877	0.93	0.824	0.883	0.758	0.877	0.77	0.92	0.621	0.8	0.567	0.77	0.786	0.914	0.657	0.81	0.591	0.786
relu	(75,75)	0.0001	0.884	0.936	0.832	0.89	0.773	0.884	0.762	0.922	0.602	0.795	0.553	0.762	0.79	0.933	0.648	0.817	0.606	0.79
relu	(100,100)	0.1	0.499	0.598	0.402	0.399	-0.0	0.5	0.499	0.598	0.4	0.399	-0.014	0.499	0.5	0.0	1.0	0.0	0.0	0.5
relu	(100,100)	0.01	0.877	0.938	0.816	0.884	0.76	0.877	0.747	0.888	0.606	0.778	0.514	0.747	0.757	0.905	0.61	0.788	0.538	0.757
relu	(100,100)	0.001	0.873	0.919	0.826	0.878	0.749	0.873	0.781	0.916	0.646	0.807	0.584	0.781	0.8	0.924	0.676	0.822	0.619	0.8
