activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(125,25)	0.001	0.967	0.885	0.998	0.936	0.917	0.941	0.745	0.649	0.79	0.619	0.43	0.72	0.74	0.633	0.79	0.608	0.415	0.712
relu	(125,25)	0.0001	0.962	0.879	0.994	0.928	0.905	0.937	0.722	0.551	0.802	0.557	0.356	0.676	0.727	0.551	0.81	0.562	0.365	0.68
relu	(150,30)	0.1	0.753	0.111	0.996	0.175	0.187	0.553	0.696	0.057	0.994	0.097	0.113	0.526	0.682	0.0	1.0	0.0	0.0	0.5
relu	(150,30)	0.01	0.965	0.902	0.99	0.934	0.913	0.946	0.708	0.669	0.726	0.593	0.377	0.698	0.701	0.673	0.714	0.589	0.367	0.694
relu	(150,30)	0.001	0.967	0.901	0.992	0.937	0.916	0.947	0.743	0.722	0.752	0.641	0.452	0.737	0.747	0.714	0.762	0.642	0.455	0.738
relu	(150,30)	0.0001	0.97	0.923	0.988	0.944	0.924	0.955	0.735	0.714	0.745	0.632	0.436	0.73	0.747	0.735	0.752	0.649	0.463	0.744
relu	(175,35)	0.1	0.794	0.248	1.0	0.295	0.291	0.624	0.697	0.167	0.945	0.187	0.123	0.556	0.734	0.265	0.952	0.388	0.316	0.609
relu	(175,35)	0.01	0.97	0.94	0.981	0.945	0.925	0.96	0.697	0.633	0.728	0.57	0.345	0.68	0.753	0.714	0.771	0.648	0.465	0.743
relu	(175,35)	0.001	0.961	0.879	0.992	0.924	0.9	0.936	0.731	0.678	0.756	0.616	0.416	0.717	0.734	0.694	0.752	0.624	0.426	0.723
relu	(175,35)	0.0001	0.961	0.879	0.992	0.924	0.901	0.936	0.734	0.649	0.773	0.608	0.41	0.711	0.734	0.633	0.781	0.602	0.404	0.707
relu	(200,40)	0.1	0.798	0.301	0.986	0.323	0.301	0.643	0.699	0.257	0.905	0.239	0.159	0.581	0.688	0.816	0.629	0.625	0.415	0.722
relu	(200,40)	0.01	0.961	0.902	0.983	0.926	0.901	0.942	0.731	0.673	0.758	0.614	0.414	0.716	0.734	0.694	0.752	0.624	0.426	0.723
relu	(200,40)	0.001	0.965	0.885	0.996	0.933	0.913	0.941	0.749	0.702	0.771	0.64	0.455	0.737	0.76	0.714	0.781	0.654	0.476	0.748
relu	(200,40)	0.0001	0.955	0.863	0.99	0.912	0.885	0.926	0.774	0.706	0.806	0.665	0.498	0.756	0.786	0.735	0.81	0.686	0.527	0.772
relu	(225,45)	0.1	0.838	0.461	0.979	0.561	0.56	0.72	0.71	0.363	0.872	0.389	0.286	0.618	0.753	0.429	0.905	0.525	0.387	0.667
relu	(225,45)	0.01	0.968	0.918	0.988	0.941	0.92	0.953	0.719	0.661	0.747	0.599	0.391	0.704	0.753	0.633	0.81	0.62	0.438	0.721
relu	(225,45)	0.001	0.967	0.896	0.994	0.937	0.916	0.945	0.722	0.62	0.77	0.587	0.38	0.695	0.753	0.653	0.8	0.627	0.444	0.727
relu	(225,45)	0.0001	0.959	0.874	0.992	0.922	0.897	0.933	0.727	0.584	0.794	0.576	0.375	0.689	0.76	0.633	0.819	0.626	0.449	0.726
relu	(250,50)	0.1	0.75	0.088	1.0	0.141	0.162	0.544	0.686	0.033	0.99	0.056	0.053	0.512	0.695	0.041	1.0	0.078	0.168	0.52
relu	(250,50)	0.01	0.958	0.901	0.979	0.922	0.894	0.94	0.709	0.629	0.747	0.578	0.363	0.688	0.766	0.714	0.79	0.66	0.487	0.752
