activation	layers	learning_rate	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
relu	(50,10)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(50,10)	0.01	0.914	0.77	0.969	0.829	0.778	0.87	0.747	0.616	0.808	0.605	0.421	0.712	0.714	0.51	0.81	0.532	0.327	0.66
relu	(50,10)	0.001	0.926	0.786	0.979	0.854	0.811	0.883	0.705	0.535	0.785	0.535	0.32	0.66	0.695	0.531	0.771	0.525	0.3	0.651
relu	(50,10)	0.0001	0.916	0.764	0.973	0.832	0.783	0.869	0.673	0.51	0.749	0.498	0.255	0.629	0.662	0.51	0.733	0.49	0.239	0.622
relu	(75,15)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(75,15)	0.01	0.92	0.797	0.967	0.846	0.796	0.882	0.722	0.576	0.79	0.567	0.364	0.683	0.721	0.694	0.733	0.613	0.406	0.714
relu	(75,15)	0.001	0.925	0.775	0.981	0.849	0.808	0.878	0.739	0.62	0.794	0.601	0.408	0.707	0.753	0.653	0.8	0.627	0.444	0.727
relu	(75,15)	0.0001	0.92	0.77	0.977	0.84	0.794	0.874	0.76	0.714	0.781	0.654	0.476	0.748	0.773	0.714	0.8	0.667	0.498	0.757
relu	(100,20)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(100,20)	0.01	0.917	0.758	0.977	0.833	0.786	0.868	0.731	0.584	0.8	0.579	0.382	0.692	0.727	0.612	0.781	0.588	0.385	0.697
relu	(100,20)	0.001	0.919	0.747	0.983	0.834	0.791	0.865	0.745	0.539	0.842	0.573	0.395	0.69	0.76	0.592	0.838	0.611	0.438	0.715
relu	(100,20)	0.0001	0.902	0.693	0.981	0.794	0.748	0.837	0.729	0.449	0.859	0.512	0.335	0.654	0.74	0.49	0.857	0.545	0.372	0.673
relu	(125,25)	0.1	0.729	0.016	0.998	0.029	0.037	0.507	0.686	0.016	0.998	0.031	0.054	0.507	0.682	0.0	1.0	0.0	0.0	0.5
relu	(125,25)	0.01	0.908	0.77	0.961	0.821	0.765	0.865	0.697	0.518	0.781	0.519	0.3	0.65	0.734	0.592	0.8	0.586	0.39	0.696
relu	(125,25)	0.001	0.928	0.77	0.988	0.852	0.816	0.879	0.725	0.473	0.842	0.522	0.335	0.658	0.734	0.551	0.819	0.568	0.377	0.685
relu	(125,25)	0.0001	0.926	0.748	0.994	0.845	0.814	0.871	0.712	0.408	0.853	0.473	0.29	0.631	0.701	0.429	0.829	0.477	0.275	0.629
relu	(150,30)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(150,30)	0.01	0.916	0.814	0.954	0.841	0.786	0.884	0.732	0.604	0.792	0.588	0.393	0.698	0.734	0.571	0.81	0.577	0.383	0.69
relu	(150,30)	0.001	0.926	0.77	0.986	0.85	0.811	0.878	0.726	0.543	0.811	0.558	0.36	0.677	0.714	0.571	0.781	0.56	0.349	0.676
relu	(150,30)	0.0001	0.922	0.759	0.983	0.841	0.8	0.871	0.732	0.608	0.79	0.591	0.393	0.699	0.747	0.653	0.79	0.621	0.433	0.722
relu	(175,35)	0.1	0.768	0.161	0.998	0.176	0.169	0.58	0.691	0.11	0.962	0.112	0.073	0.536	0.682	0.0	1.0	0.0	0.0	0.5
relu	(175,35)	0.01	0.923	0.797	0.971	0.851	0.804	0.884	0.74	0.551	0.829	0.573	0.388	0.69	0.708	0.612	0.752	0.571	0.353	0.682
relu	(175,35)	0.001	0.925	0.77	0.983	0.848	0.807	0.876	0.71	0.527	0.796	0.536	0.327	0.661	0.708	0.531	0.79	0.536	0.323	0.661
relu	(175,35)	0.0001	0.916	0.726	0.988	0.823	0.785	0.857	0.682	0.392	0.817	0.439	0.225	0.604	0.656	0.367	0.79	0.404	0.168	0.579
relu	(200,40)	0.1	0.783	0.48	0.897	0.459	0.413	0.689	0.669	0.404	0.792	0.334	0.189	0.598	0.682	0.0	1.0	0.0	0.0	0.5
relu	(200,40)	0.01	0.928	0.802	0.975	0.859	0.815	0.889	0.766	0.653	0.819	0.64	0.468	0.736	0.818	0.776	0.838	0.731	0.596	0.807
relu	(200,40)	0.001	0.943	0.814	0.992	0.886	0.855	0.903	0.752	0.584	0.83	0.599	0.42	0.707	0.747	0.633	0.8	0.614	0.426	0.716
relu	(200,40)	0.0001	0.925	0.753	0.99	0.845	0.808	0.871	0.766	0.567	0.859	0.607	0.444	0.713	0.773	0.633	0.838	0.639	0.473	0.735
relu	(225,45)	0.1	0.729	0.011	1.0	0.022	0.057	0.506	0.682	0.004	0.998	0.008	0.013	0.501	0.682	0.0	1.0	0.0	0.0	0.5
relu	(225,45)	0.01	0.898	0.737	0.959	0.797	0.735	0.848	0.71	0.445	0.834	0.493	0.299	0.64	0.714	0.449	0.838	0.5	0.307	0.644
relu	(225,45)	0.001	0.932	0.797	0.983	0.865	0.827	0.89	0.762	0.612	0.832	0.62	0.448	0.722	0.747	0.612	0.81	0.606	0.42	0.711
relu	(225,45)	0.0001	0.919	0.737	0.988	0.832	0.793	0.862	0.738	0.514	0.842	0.554	0.372	0.678	0.747	0.531	0.848	0.571	0.396	0.689
relu	(250,50)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(250,50)	0.01	0.911	0.753	0.971	0.822	0.772	0.862	0.729	0.498	0.836	0.538	0.352	0.667	0.695	0.49	0.79	0.505	0.285	0.64
relu	(250,50)	0.001	0.932	0.775	0.992	0.862	0.828	0.883	0.716	0.527	0.804	0.54	0.335	0.665	0.734	0.612	0.79	0.594	0.397	0.701
relu	(250,50)	0.0001	0.929	0.759	0.994	0.854	0.822	0.876	0.743	0.555	0.83	0.579	0.395	0.693	0.753	0.592	0.829	0.604	0.425	0.71
relu	(275,55)	0.1	0.728	0.005	1.0	0.011	0.028	0.503	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(275,55)	0.01	0.913	0.753	0.973	0.824	0.776	0.863	0.734	0.616	0.789	0.594	0.399	0.702	0.708	0.571	0.771	0.554	0.338	0.671
relu	(275,55)	0.001	0.941	0.802	0.994	0.882	0.851	0.898	0.731	0.51	0.834	0.545	0.359	0.672	0.747	0.612	0.81	0.606	0.42	0.711
relu	(275,55)	0.0001	0.919	0.759	0.979	0.835	0.791	0.869	0.73	0.461	0.855	0.521	0.342	0.658	0.76	0.51	0.876	0.575	0.417	0.693
relu	(300,60)	0.1	0.726	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(300,60)	0.01	0.91	0.77	0.963	0.823	0.769	0.866	0.732	0.624	0.783	0.597	0.399	0.704	0.747	0.694	0.771	0.636	0.447	0.733
relu	(300,60)	0.001	0.931	0.775	0.99	0.86	0.824	0.882	0.738	0.559	0.821	0.575	0.386	0.69	0.766	0.653	0.819	0.64	0.467	0.736
relu	(300,60)	0.0001	0.922	0.748	0.988	0.839	0.8	0.868	0.749	0.535	0.85	0.576	0.402	0.692	0.766	0.551	0.867	0.6	0.44	0.709
relu	(25,12)	0.1	0.808	0.549	0.905	0.543	0.49	0.727	0.705	0.514	0.794	0.48	0.334	0.654	0.701	0.143	0.962	0.233	0.189	0.552
relu	(25,12)	0.01	0.91	0.775	0.961	0.825	0.768	0.868	0.723	0.555	0.802	0.558	0.358	0.679	0.714	0.571	0.781	0.56	0.349	0.676
relu	(25,12)	0.001	0.922	0.781	0.975	0.845	0.8	0.878	0.762	0.645	0.817	0.633	0.458	0.731	0.753	0.633	0.81	0.62	0.438	0.721
relu	(25,12)	0.0001	0.914	0.753	0.975	0.826	0.78	0.864	0.752	0.567	0.838	0.593	0.416	0.703	0.773	0.612	0.848	0.632	0.468	0.73
relu	(50,25)	0.1	0.746	0.089	0.994	0.129	0.141	0.541	0.691	0.069	0.981	0.089	0.062	0.525	0.682	0.0	1.0	0.0	0.0	0.5
relu	(50,25)	0.01	0.917	0.797	0.963	0.84	0.787	0.88	0.726	0.571	0.798	0.571	0.371	0.685	0.695	0.612	0.733	0.561	0.332	0.673
relu	(50,25)	0.001	0.925	0.77	0.983	0.847	0.808	0.877	0.748	0.673	0.783	0.63	0.442	0.728	0.766	0.714	0.79	0.66	0.487	0.752
relu	(50,25)	0.0001	0.92	0.748	0.986	0.836	0.796	0.867	0.752	0.682	0.785	0.637	0.452	0.733	0.76	0.735	0.771	0.661	0.483	0.753
relu	(75,37)	0.1	0.726	0.005	0.998	0.01	0.012	0.502	0.674	0.008	0.985	0.014	-0.013	0.496	0.682	0.0	1.0	0.0	0.0	0.5
relu	(75,37)	0.01	0.917	0.797	0.963	0.84	0.788	0.88	0.731	0.633	0.777	0.601	0.401	0.705	0.714	0.653	0.743	0.593	0.379	0.698
relu	(75,37)	0.001	0.926	0.759	0.99	0.848	0.812	0.874	0.697	0.482	0.798	0.501	0.286	0.64	0.688	0.49	0.781	0.5	0.274	0.635
relu	(75,37)	0.0001	0.916	0.748	0.979	0.828	0.784	0.864	0.694	0.49	0.789	0.504	0.283	0.639	0.695	0.51	0.781	0.515	0.293	0.646
relu	(100,50)	0.1	0.728	0.011	0.998	0.021	0.041	0.504	0.682	0.0	1.0	0.0	0.0	0.5	0.682	0.0	1.0	0.0	0.0	0.5
relu	(100,50)	0.01	0.931	0.813	0.975	0.866	0.824	0.894	0.73	0.588	0.796	0.579	0.381	0.692	0.734	0.612	0.79	0.594	0.397	0.701
relu	(100,50)	0.001	0.932	0.792	0.986	0.865	0.827	0.889	0.747	0.555	0.836	0.583	0.403	0.696	0.74	0.571	0.819	0.583	0.395	0.695
relu	(100,50)	0.0001	0.914	0.747	0.977	0.827	0.779	0.862	0.742	0.563	0.825	0.58	0.395	0.694	0.734	0.592	0.8	0.586	0.39	0.696
relu	(125,62)	0.1	0.797	0.313	0.979	0.325	0.3	0.646	0.704	0.261	0.91	0.25	0.187	0.586	0.74	0.592	0.81	0.592	0.401	0.701
relu	(125,62)	0.01	0.926	0.792	0.977	0.855	0.811	0.884	0.708	0.539	0.787	0.538	0.326	0.663	0.74	0.612	0.8	0.6	0.408	0.706
relu	(125,62)	0.001	0.931	0.781	0.988	0.86	0.823	0.884	0.708	0.478	0.815	0.509	0.304	0.646	0.734	0.551	0.819	0.568	0.377	0.685
relu	(125,62)	0.0001	0.928	0.753	0.994	0.85	0.817	0.874	0.678	0.367	0.823	0.421	0.209	0.595	0.662	0.367	0.8	0.409	0.179	0.584
