Kernel	C	degree	gamma	coef0	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
poly	10	2	0.001	3	-2.1	1.6	-0.2	0.97	0.923	0.988	0.943	0.924	0.955	0.736	0.739	0.735	0.64	0.448	0.737	0.734	0.755	0.724	0.643	0.451	0.739
poly	10	3	0.1	0	-1.6	2.1	-0.4	0.935	0.857	0.965	0.879	0.836	0.911	0.701	0.502	0.794	0.516	0.302	0.648	0.708	0.551	0.781	0.545	0.33	0.666
poly	10	3	0.1	1	-1.6	1.9	-0.4	0.937	0.857	0.967	0.882	0.84	0.912	0.7	0.518	0.785	0.524	0.305	0.652	0.708	0.551	0.781	0.545	0.33	0.666
poly	10	3	0.1	2	-1.6	1.7	-0.4	0.937	0.857	0.967	0.881	0.84	0.912	0.696	0.518	0.779	0.52	0.298	0.649	0.695	0.531	0.771	0.525	0.3	0.651
poly	10	3	0.1	3	-1.5	1.6	-0.4	0.941	0.868	0.969	0.89	0.851	0.919	0.694	0.527	0.771	0.522	0.297	0.649	0.701	0.551	0.771	0.54	0.319	0.661
poly	10	3	0.01	0	-1.6	2.1	-0.4	0.935	0.857	0.965	0.879	0.836	0.911	0.701	0.502	0.794	0.516	0.302	0.648	0.708	0.551	0.781	0.545	0.33	0.666
poly	10	3	0.01	1	-1.4	1.1	-0.4	0.94	0.868	0.967	0.888	0.848	0.918	0.684	0.551	0.747	0.527	0.291	0.649	0.688	0.571	0.743	0.538	0.306	0.657
poly	10	3	0.01	2	-1.4	1.1	-0.3	0.944	0.841	0.983	0.892	0.858	0.912	0.679	0.4	0.81	0.44	0.222	0.605	0.688	0.469	0.79	0.489	0.266	0.63
poly	10	3	0.01	3	-1.5	1.1	-0.3	0.938	0.83	0.979	0.881	0.843	0.905	0.681	0.482	0.773	0.489	0.258	0.627	0.701	0.551	0.771	0.54	0.319	0.661
poly	10	3	0.001	0	-1.6	2.1	-0.4	0.935	0.857	0.965	0.879	0.836	0.911	0.701	0.502	0.794	0.516	0.302	0.648	0.708	0.551	0.781	0.545	0.33	0.666
poly	10	3	0.001	1	-1.7	1.1	-0.3	0.959	0.89	0.986	0.923	0.897	0.938	0.739	0.751	0.733	0.647	0.457	0.742	0.753	0.776	0.743	0.667	0.489	0.759
poly	10	3	0.001	2	-1.9	1.2	-0.3	0.962	0.912	0.981	0.93	0.905	0.947	0.747	0.796	0.724	0.667	0.488	0.76	0.747	0.816	0.714	0.672	0.496	0.765
poly	10	3	0.001	3	-2.0	1.2	-0.2	0.971	0.918	0.992	0.946	0.928	0.955	0.74	0.739	0.741	0.644	0.454	0.74	0.734	0.735	0.733	0.637	0.442	0.734
